,node,centrality,community,density,name
0,529,1,112,1.0,"carriere, j."
1,530,1,112,1.0,"kazman, r."
2,1151,1,32,1.0,"tollis, i.g."
3,1152,1,32,1.0,"six, j.m."
4,669,1,81,1.0,"baudel, t."
5,670,1,81,1.0,"broeskema, b."
6,699,1,87,1.0,"rao, r."
7,700,1,87,1.0,"tenev, t."
8,723,1,80,1.0,"eppler, m.j."
9,724,1,80,1.0,"bresciani, s."
10,908,1,35,1.0,"dix, a."
11,909,1,35,1.0,"ellis, g."
12,972,1,92,1.0,"stein, c."
13,973,1,92,1.0,"alper, n."
14,667,1,93,1.0,"leuski, a."
15,668,1,93,1.0,"allan, j."
16,654,1,48,1.0,"flowers, w.c."
17,655,1,48,1.0,"yang-pelaez, j."
18,652,1,79,1.0,"teraoka, t."
19,653,1,79,1.0,"maruyama, m."
20,203,1,97,1.0,"kobourov, s.g."
21,204,1,97,1.0,"wampler, k."
22,115,1,19,1.0,"overbye, t.j."
23,116,1,19,1.0,"weber, j.d."
24,1007,1,18,1.0,"abrams, m."
25,1008,1,18,1.0,"ribler, r."
26,848,1,17,1.0,"wilson, r.m."
27,849,1,17,1.0,"bergeron, r.d."
28,947,1,62,1.0,"tu, y."
29,948,1,62,1.0,"shen, h.-w."
30,761,1,15,1.0,"inselberg, a."
31,1294,1,15,1.0,"avidan, t."
32,466,1,14,1.0,"becker, b.g."
33,1115,1,14,1.0,"brainerd, j."
34,969,1,99,1.0,"kapler, t."
35,558,1,99,1.0,"wright, w."
36,65,1,12,1.0,"lalanne, d."
37,66,1,12,1.0,"pu, p."
38,732,1,59,1.0,"whitney, d."
39,733,1,59,1.0,"haroz, s."
40,531,1,39,1.0,"ernst, r."
41,532,1,39,1.0,"luders, p."
42,1116,1,104,1.0,"barlow, t."
43,1117,1,104,1.0,"neville, p."
44,524,1,105,1.0,"angus, i.g."
45,525,1,105,1.0,"sowizral, h.a."
46,327,1,107,1.0,"gao, g.r."
47,328,1,107,1.0,"thiagarajan, p.r."
48,334,1,54,1.0,"nguyen, q.v."
49,335,1,54,1.0,"huang, m.l."
50,974,1,53,1.0,"banks, d.c."
51,975,1,53,1.0,"jin, l."
52,1273,1,3,1.0,"draper, g."
53,1274,1,3,1.0,"riesenfeld, r."
54,526,1,2,1.0,"ahlberg, c."
55,527,1,2,1.0,"wistrand, e."
56,626,1,50,1.0,"theisel, h."
57,627,1,50,1.0,"lehmann, d.j."
58,976,1,84,1.0,"rushall, d.a."
59,977,1,84,1.0,"ilgen, m.r."
60,1073,1,83,1.0,"tennekes, m."
61,1074,1,83,1.0,"de jonge, e."
62,980,2,111,1.0,"guzdial, m."
63,981,2,111,1.0,"badre, a."
64,979,2,111,1.0,"gray, m."
65,707,2,94,1.0,"clarkson, e."
