,community,count
112,112,2
32,32,2
81,81,2
87,87,2
80,80,2
35,35,2
92,92,2
93,93,2
48,48,2
79,79,2
97,97,2
19,19,2
18,18,2
17,17,2
62,62,2
15,15,2
14,14,2
99,99,2
12,12,2
59,59,2
39,39,2
104,104,2
105,105,2
107,107,2
54,54,2
53,53,2
3,3,2
2,2,2
50,50,2
84,84,2
83,83,2
111,111,3
94,94,3
86,86,3
88,88,3
89,89,3
96,96,3
98,98,3
100,100,3
102,102,3
103,103,3
108,108,3
109,109,3
110,110,3
85,85,3
46,46,3
0,0,3
56,56,3
44,44,3
43,43,3
8,8,3
27,27,3
31,31,3
45,45,3
106,106,4
10,10,4
26,26,4
77,77,4
73,73,4
70,70,4
67,67,4
66,66,4
47,47,4
41,41,4
61,61,4
60,60,4
37,37,4
40,40,4
95,95,5
23,23,5
91,91,5
29,29,5
55,55,5
82,82,5
57,57,5
36,36,5
74,74,5
65,65,5
71,71,5
38,38,5
21,21,6
78,78,6
75,75,6
34,34,6
101,101,6
51,51,6
90,90,7
7,7,7
16,16,8
63,63,8
30,30,10
69,69,13
64,64,14
58,58,15
72,72,19
33,33,24
1,1,26
76,76,26
42,42,26
28,28,26
6,6,34
24,24,38
4,4,48
68,68,54
25,25,54
49,49,54
20,20,56
5,5,59
11,11,62
13,13,63
22,22,67
52,52,90
9,9,138
