,source,target,weight
0,22,76,2
1,22,9,11
2,22,13,5
3,22,11,5
4,22,6,4
5,22,20,2
6,22,52,3
7,22,49,4
8,22,5,1
9,42,4,3
10,42,11,11
11,4,9,15
12,4,13,1
13,4,49,2
14,4,52,5
15,4,5,2
16,4,24,2
17,4,68,3
18,9,52,20
19,9,58,2
20,9,5,30
21,9,49,13
22,9,25,8
23,9,20,5
24,9,16,2
25,9,6,3
26,9,68,3
27,9,28,5
28,9,11,5
29,9,76,6
30,9,24,3
31,9,72,2
32,6,11,3
33,6,13,1
34,52,20,1
35,52,24,1
36,52,68,11
37,52,28,7
38,52,25,2
39,52,13,6
40,52,49,1
41,11,20,1
42,11,13,18
43,11,64,2
44,11,49,1
45,11,58,1
46,11,5,1
47,11,72,2
48,5,13,3
49,5,49,2
50,5,58,2
51,13,68,4
52,13,49,4
53,13,28,1
54,25,68,2
55,68,76,2
56,68,49,1
57,49,58,1
