,node,centrality,community,density
36692,25014,2,0,1.0
36693,34698,2,0,1.0
35361,37353,3,0,1.0
24748,5745,2,32,0.6666666666666666
34463,28243,2,32,0.6666666666666666
24749,32827,6,32,0.6666666666666666
23183,19166,1,31,0.6666666666666666
33255,14088,1,31,0.6666666666666666
23184,19461,3,31,0.6666666666666666
36870,2508,2,28,1.0
17754,27321,3,28,1.0
36871,34823,3,28,1.0
16996,27533,2,26,1.0
16997,34147,2,26,1.0
16995,2226,3,26,1.0
28874,36297,1,25,0.6666666666666666
16127,9145,2,25,0.6666666666666666
28875,18894,2,25,0.6666666666666666
32486,26748,2,35,1.0
32488,31735,3,35,1.0
32487,27203,4,35,1.0
9700,1299,2,17,1.0
9702,34362,2,17,1.0
9701,30753,3,17,1.0
25658,6257,1,18,0.6666666666666666
26293,6653,2,18,0.6666666666666666
9818,35716,5,18,0.6666666666666666
34807,15155,1,36,0.6666666666666666
34808,23572,2,36,0.6666666666666666
35126,19239,3,36,0.6666666666666666
36033,31300,1,3,0.6666666666666666
35763,34691,2,3,0.6666666666666666
35764,21581,2,3,0.6666666666666666
34184,20494,1,33,0.5
26310,28030,2,33,0.5
34183,21682,2,33,0.5
34185,23611,2,33,0.5
21588,4066,3,30,1.0
21590,37502,3,30,1.0
21591,31303,3,30,1.0
21589,22635,5,30,1.0
20228,20413,3,29,0.8333333333333334
20231,35717,3,29,0.8333333333333334
20229,27997,4,29,0.8333333333333334
20230,17710,4,29,0.8333333333333334
25738,13651,1,24,0.5
25740,18326,1,24,0.5
25739,35427,4,24,0.5
15154,6311,9,24,0.5
15672,14496,1,20,0.4
26360,34484,2,20,0.4
15673,7180,4,20,0.4
11235,1915,8,20,0.4
12649,1657,8,20,0.4
14236,1508,1,22,0.4
32740,35606,2,22,0.4
14237,13293,3,22,0.4
26616,20182,3,22,0.4
26615,31103,6,22,0.4
7793,1007,1,15,0.4
34988,28899,1,15,0.4
27565,7525,2,15,0.4
7794,9991,3,15,0.4
20257,18168,4,15,0.4
27156,13424,1,34,0.3333333333333333
33267,21137,1,34,0.3333333333333333
33268,34141,1,34,0.3333333333333333
27157,11247,2,34,0.3333333333333333
31432,36848,2,34,0.3333333333333333
31588,36859,6,34,0.3333333333333333
10118,1394,2,19,0.38095238095238093
10119,19304,2,19,0.38095238095238093
28533,8469,2,19,0.38095238095238093
25534,12362,4,19,0.38095238095238093
23620,6524,5,19,0.38095238095238093
26031,29139,8,19,0.38095238095238093
16518,21365,9,19,0.38095238095238093
30805,21230,1,14,0.42857142857142855
20054,30063,2,14,0.42857142857142855
20052,4387,4,14,0.42857142857142855
20055,30837,5,14,0.42857142857142855
20056,8305,5,14,0.42857142857142855
19972,10590,7,14,0.42857142857142855
3327,3370,12,14,0.42857142857142855
28823,8647,1,23,0.2857142857142857
32315,37334,1,23,0.2857142857142857
26093,6564,3,23,0.2857142857142857
32314,12485,3,23,0.2857142857142857
23051,28616,4,23,0.2857142857142857
14756,19884,5,23,0.2857142857142857
23997,37323,8,23,0.2857142857142857
26094,32628,9,23,0.2857142857142857
15019,29140,2,11,0.25
27646,7595,3,11,0.25
27647,13590,3,11,0.25
1591,28434,4,11,0.25
3907,30942,4,11,0.25
15457,4872,5,11,0.25
32870,936,5,11,0.25
9723,9515,7,11,0.25
18233,19045,9,11,0.25
17056,6451,1,27,0.21818181818181817
34563,16914,1,27,0.21818181818181817
30667,10408,2,27,0.21818181818181817
34565,19183,2,27,0.21818181818181817
29406,4257,3,27,0.21818181818181817
30668,16936,3,27,0.21818181818181817
17057,20803,4,27,0.21818181818181817
27636,23024,4,27,0.21818181818181817
27637,19481,4,27,0.21818181818181817
33583,31936,4,27,0.21818181818181817
22395,14653,10,27,0.21818181818181817
36152,26198,1,16,0.2692307692307692
30583,10322,2,16,0.2692307692307692
32576,12998,3,16,0.2692307692307692
8374,2406,4,16,0.2692307692307692
32024,12040,4,16,0.2692307692307692
32577,9845,4,16,0.2692307692307692
24261,22154,5,16,0.2692307692307692
29442,25619,5,16,0.2692307692307692
32025,30518,5,16,0.2692307692307692
24260,5611,6,16,0.2692307692307692
30319,15699,6,16,0.2692307692307692
8318,22192,14,16,0.2692307692307692
11159,10849,19,16,0.2692307692307692
35585,19835,1,13,0.11100832562442182
37422,29629,1,13,0.11100832562442182
37681,2875,1,13,0.11100832562442182
23863,5331,2,13,0.11100832562442182
28038,32659,2,13,0.11100832562442182
30775,18585,2,13,0.11100832562442182
32446,12715,2,13,0.11100832562442182
33310,32041,2,13,0.11100832562442182
16775,2148,3,13,0.11100832562442182
18175,2598,3,13,0.11100832562442182
28503,16329,3,13,0.11100832562442182
29286,22895,3,13,0.11100832562442182
15057,1699,4,13,0.11100832562442182
16777,17700,4,13,0.11100832562442182
17184,29718,4,13,0.11100832562442182
28039,24484,4,13,0.11100832562442182
1971,198,5,13,0.11100832562442182
16110,8790,5,13,0.11100832562442182
20811,30678,5,13,0.11100832562442182
33585,14889,5,13,0.11100832562442182
36419,31693,5,13,0.11100832562442182
16778,31605,7,13,0.11100832562442182
18330,29899,7,13,0.11100832562442182
27980,2888,7,13,0.11100832562442182
28860,13053,7,13,0.11100832562442182
29370,29901,7,13,0.11100832562442182
27979,7881,8,13,0.11100832562442182
28628,24685,8,13,0.11100832562442182
10310,18569,9,13,0.11100832562442182
6025,21158,10,13,0.11100832562442182
24023,34664,11,13,0.11100832562442182
28037,25722,11,13,0.11100832562442182
10638,18405,12,13,0.11100832562442182
18001,23937,13,13,0.11100832562442182
10312,5806,14,13,0.11100832562442182
12270,32372,14,13,0.11100832562442182
28041,35799,14,13,0.11100832562442182
21736,30442,15,13,0.11100832562442182
1974,14658,16,13,0.11100832562442182
12557,23266,16,13,0.11100832562442182
28040,32861,18,13,0.11100832562442182
10288,8691,19,13,0.11100832562442182
27981,7941,19,13,0.11100832562442182
10759,8439,22,13,0.11100832562442182
1976,26888,25,13,0.11100832562442182
25598,18730,26,13,0.11100832562442182
2441,107,47,13,0.11100832562442182
15,4950,1,5,0.012483486569076182
783,22212,1,5,0.012483486569076182
820,64,1,5,0.012483486569076182
4475,37058,1,5,0.012483486569076182
9500,12171,1,5,0.012483486569076182
15085,1711,1,5,0.012483486569076182
20598,3600,1,5,0.012483486569076182
21929,20990,1,5,0.012483486569076182
22544,10006,1,5,0.012483486569076182
22877,13449,1,5,0.012483486569076182
23272,5027,1,5,0.012483486569076182
23280,5037,1,5,0.012483486569076182
23659,5209,1,5,0.012483486569076182
23716,5254,1,5,0.012483486569076182
23739,7953,1,5,0.012483486569076182
24141,25450,1,5,0.012483486569076182
24810,5811,1,5,0.012483486569076182
26158,6597,1,5,0.012483486569076182
27784,7727,1,5,0.012483486569076182
28546,24281,1,5,0.012483486569076182
28575,12726,1,5,0.012483486569076182
29043,12969,1,5,0.012483486569076182
29378,9069,1,5,0.012483486569076182
29493,9224,1,5,0.012483486569076182
29763,26278,1,5,0.012483486569076182
30441,30806,1,5,0.012483486569076182
30679,10423,1,5,0.012483486569076182
31939,18886,1,5,0.012483486569076182
32701,13240,1,5,0.012483486569076182
32831,29957,1,5,0.012483486569076182
33081,30967,1,5,0.012483486569076182
33662,23827,1,5,0.012483486569076182
34122,15670,1,5,0.012483486569076182
34465,16657,1,5,0.012483486569076182
34630,31173,1,5,0.012483486569076182
34651,17175,1,5,0.012483486569076182
34688,30066,1,5,0.012483486569076182
34727,34645,1,5,0.012483486569076182
34938,18023,1,5,0.012483486569076182
35074,18467,1,5,0.012483486569076182
35250,23159,1,5,0.012483486569076182
35576,22698,1,5,0.012483486569076182
35591,19870,1,5,0.012483486569076182
36412,23498,1,5,0.012483486569076182
36449,23632,1,5,0.012483486569076182
36578,35487,1,5,0.012483486569076182
36643,29124,1,5,0.012483486569076182
36684,24885,1,5,0.012483486569076182
36687,27112,1,5,0.012483486569076182
36703,20250,1,5,0.012483486569076182
36959,26767,1,5,0.012483486569076182
37115,35642,1,5,0.012483486569076182
37243,29018,1,5,0.012483486569076182
37419,29596,1,5,0.012483486569076182
4472,10661,2,5,0.012483486569076182
4734,575,2,5,0.012483486569076182
8663,8028,2,5,0.012483486569076182
8664,32805,2,5,0.012483486569076182
10144,3230,2,5,0.012483486569076182
11160,29486,2,5,0.012483486569076182
14243,8344,2,5,0.012483486569076182
15850,21671,2,5,0.012483486569076182
16095,26345,2,5,0.012483486569076182
19171,3013,2,5,0.012483486569076182
19326,3075,2,5,0.012483486569076182
20518,3548,2,5,0.012483486569076182
20969,3810,2,5,0.012483486569076182
20994,3824,2,5,0.012483486569076182
21352,16817,2,5,0.012483486569076182
21962,34881,2,5,0.012483486569076182
22771,19126,2,5,0.012483486569076182
22954,14448,2,5,0.012483486569076182
23194,12862,2,5,0.012483486569076182
23273,5029,2,5,0.012483486569076182
23738,18935,2,5,0.012483486569076182
23743,4288,2,5,0.012483486569076182
23746,29127,2,5,0.012483486569076182
24215,7533,2,5,0.012483486569076182
25819,33272,2,5,0.012483486569076182
26258,6634,2,5,0.012483486569076182
26451,34408,2,5,0.012483486569076182
26648,27869,2,5,0.012483486569076182
28227,21286,2,5,0.012483486569076182
28268,21134,2,5,0.012483486569076182
28939,29064,2,5,0.012483486569076182
29035,8911,2,5,0.012483486569076182
29470,9189,2,5,0.012483486569076182
29762,12800,2,5,0.012483486569076182
30004,9796,2,5,0.012483486569076182
30562,10433,2,5,0.012483486569076182
30675,10418,2,5,0.012483486569076182
30752,10511,2,5,0.012483486569076182
31062,10858,2,5,0.012483486569076182
31925,11859,2,5,0.012483486569076182
31984,10395,2,5,0.012483486569076182
32327,24682,2,5,0.012483486569076182
32752,13314,2,5,0.012483486569076182
33079,29518,2,5,0.012483486569076182
33474,14411,2,5,0.012483486569076182
33631,14747,2,5,0.012483486569076182
33655,18013,2,5,0.012483486569076182
33660,21456,2,5,0.012483486569076182
34011,15439,2,5,0.012483486569076182
34297,27156,2,5,0.012483486569076182
34327,16255,2,5,0.012483486569076182
34687,17274,2,5,0.012483486569076182
34726,1425,2,5,0.012483486569076182
34871,31245,2,5,0.012483486569076182
34914,29345,2,5,0.012483486569076182
35249,15397,2,5,0.012483486569076182
35253,19010,2,5,0.012483486569076182
35566,19758,2,5,0.012483486569076182
35569,37491,2,5,0.012483486569076182
35575,30939,2,5,0.012483486569076182
35624,7016,2,5,0.012483486569076182
35657,30105,2,5,0.012483486569076182
36427,7858,2,5,0.012483486569076182
36460,17102,2,5,0.012483486569076182
37305,7464,2,5,0.012483486569076182
37560,32020,2,5,0.012483486569076182
37561,26630,2,5,0.012483486569076182
597,8608,3,5,0.012483486569076182
2423,1013,3,5,0.012483486569076182
3209,387,3,5,0.012483486569076182
4920,25203,3,5,0.012483486569076182
5438,25656,3,5,0.012483486569076182
7795,1008,3,5,0.012483486569076182
7796,6366,3,5,0.012483486569076182
9233,1208,3,5,0.012483486569076182
12966,25840,3,5,0.012483486569076182
15125,20277,3,5,0.012483486569076182
15448,6258,3,5,0.012483486569076182
15535,1870,3,5,0.012483486569076182
16416,24566,3,5,0.012483486569076182
17041,2249,3,5,0.012483486569076182
17042,35840,3,5,0.012483486569076182
17971,36392,3,5,0.012483486569076182
