,source,target
0,0,23977
1,23977,27803
2,23977,69
3,23977,1966
4,23977,2939
5,23977,3147
6,23977,4422
7,23977,5631
8,23977,5895
9,23977,25679
10,23977,10111
11,23977,8973
12,23977,9212
13,23977,10081
14,23977,11305
15,23977,12114
16,23977,13060
17,23977,14480
18,23977,15313
19,23977,16972
20,23977,18520
21,23977,19222
22,23977,19375
23,23977,30863
24,23977,29826
25,23977,31890
26,23977,17127
27,23977,29188
28,23977,35828
29,23977,25285
30,23977,33206
31,23977,25477
32,1,34526
33,1,2370
34,1,14683
35,1,29982
36,1,21142
37,1,20363
38,1,23830
39,1,34035
40,34526,23589
41,2370,1164
42,2370,1213
43,2370,27803
44,2370,23297
45,2370,23484
46,2370,29982
47,2370,20469
48,2370,27828
49,2370,184
50,2370,22642
51,2370,21550
52,2370,34849
53,2370,11279
54,2370,2979
55,2370,13887
56,2370,26293
57,2370,31890
58,2370,19477
59,2370,32202
60,2370,3226
61,2370,15066
62,2370,23837
63,2370,9465
64,2370,10787
65,2370,25576
66,2370,32819
67,2370,26647
68,2370,12859
69,2370,14400
70,2370,23209
71,2370,23767
72,2370,6847
73,2370,36788
74,2370,25638
75,2370,16431
76,2370,34840
77,2370,14712
78,2370,34689
79,2370,5348
80,14683,31401
81,14683,6207
82,14683,964
83,14683,1085
84,14683,1483
85,14683,27803
86,14683,1737
87,14683,1767
88,14683,2134
89,14683,2285
90,14683,2726
91,14683,34900
92,14683,4001
93,14683,4080
94,14683,4104
95,14683,4161
96,14683,4191
97,14683,4323
98,14683,28806
99,14683,5629
100,14683,6301
101,14683,6641
102,14683,6719
103,14683,6873
104,14683,9015
105,14683,9021
106,14683,9039
107,14683,26052
108,14683,9297
109,14683,9988
110,14683,10001
111,14683,10249
112,14683,10374
113,14683,10574
114,14683,10834
115,14683,11566
116,14683,11674
117,14683,12042
118,14683,33663
119,14683,12986
120,14683,13638
121,14683,14595
122,14683,36743
123,14683,30333
124,14683,35134
125,14683,5538
126,14683,24556
127,14683,35302
128,14683,7191
129,14683,29341
130,14683,33029
131,14683,13872
132,14683,34509
133,14683,18674
134,14683,23088
135,14683,2804
136,14683,21194
137,14683,29808
138,14683,29055
139,14683,33591
140,14683,24139
141,14683,21038
142,14683,22797
143,14683,31230
144,14683,23417
145,14683,23569
146,14683,15814
147,14683,33006
148,14683,29886
149,14683,23436
150,14683,33303
151,14683,30334
152,14683,22083
153,14683,30342
154,14683,8759
155,14683,6622
156,14683,32368
157,14683,21376
158,14683,9907
159,14683,28195
160,14683,36628
161,14683,15294
162,14683,27929
163,14683,31636
164,14683,28957
165,14683,17722
166,14683,27031
167,14683,30247
168,14683,24085
169,14683,35676
170,14683,24571
171,14683,27935
172,14683,15591
173,14683,34426
174,14683,36819
175,14683,22881
176,14683,36400
177,14683,22155
178,14683,32732
179,14683,21142
180,14683,22889
181,14683,23114
182,14683,24649
183,14683,17951
184,14683,33549
185,29982,35
186,29982,224
187,29982,242
188,29982,480
189,29982,546
190,29982,618
191,29982,33872
192,29982,736
193,29982,754
194,29982,848
195,29982,5103
196,29982,964
197,29982,1066
198,29982,1085
199,29982,6245
200,29982,1103
201,29982,1145
202,29982,18562
203,29982,1435
204,29982,1483
205,29982,27803
206,29982,1601
