,source,target,weight
0,21,2,698
1,21,4,1840
2,21,7,799
3,21,5,65
4,21,1,925
5,21,9,379
6,21,6,168
7,21,8,318
8,21,12,50
9,21,10,66
10,21,13,2
11,21,16,1
12,1,2,5838
13,1,9,6108
14,1,7,5927
15,1,4,10752
16,1,10,375
17,1,12,520
18,1,6,1160
19,1,8,2413
20,1,5,284
21,1,13,20
22,1,20,3
23,1,16,5
24,1,32,2
25,1,24,2
26,1,3,1
27,1,19,1
28,1,30,1
29,1,14,1
30,1,23,3
31,1,27,1
32,1,35,1
33,1,22,1
34,1,36,1
35,1,11,1
36,1,15,2
37,2,4,9605
38,2,12,528
39,2,5,522
40,2,7,4584
41,2,8,2372
42,2,9,1843
43,2,6,1124
44,2,10,418
45,2,13,64
46,2,16,2
47,2,20,3
48,2,32,1
49,2,19,4
50,2,11,6
51,2,15,1
52,2,14,4
53,2,23,4
54,2,24,2
55,2,27,5
56,2,22,2
57,2,18,1
58,2,34,2
59,12,4,835
60,12,7,379
61,12,8,140
62,12,6,87
63,12,5,32
64,12,9,206
65,12,10,51
66,4,8,4218
67,4,5,577
68,4,6,4861
69,4,7,21275
70,4,9,3759
71,4,10,1291
72,4,14,9
73,4,13,51
74,4,29,3
75,4,25,1
76,4,19,8
77,4,16,21
78,4,24,4
79,4,11,10
80,4,35,2
81,4,20,5
82,4,23,8
83,4,28,1
84,4,32,2
85,4,22,2
86,4,36,1
87,4,27,4
88,4,18,2
89,4,33,1
90,4,31,1
91,4,26,1
92,4,34,1
93,5,6,47
94,5,7,541
95,5,8,131
96,5,9,157
97,5,10,19
98,6,9,425
99,6,7,2587
100,6,8,966
101,6,13,5
102,6,10,228
103,6,23,1
104,7,8,3315
105,7,9,2235
106,7,10,649
107,7,13,48
108,7,24,1
109,7,27,3
110,7,0,1
111,7,20,3
112,7,16,6
113,7,30,1
114,7,23,2
115,7,29,1
116,7,28,1
117,7,11,6
118,7,22,2
119,7,18,1
120,7,14,2
121,7,17,1
122,7,19,2
123,7,32,1
124,8,9,742
125,8,10,233
126,8,13,13
127,8,11,1
128,8,16,1
129,8,14,1
130,9,10,268
131,9,14,1
132,9,19,1
133,9,13,5
134,9,20,1
135,9,27,1
